date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:07:58	396/396	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2018%20Feb%202020%2014:37:51%20GMT	https://themesbrand.com/skote/layouts/vertical/assets/images/product/img-5.png	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/images/product/img-5.png	(from https://themesbrand.com/skote/layouts/vertical/ecommerce-products.html)
20:07:58	396/396	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2018%20Feb%202020%2014:37:58%20GMT	https://themesbrand.com/skote/layouts/vertical/assets/images/small/img-3.jpg	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/images/small/img-3.jpg	(from https://themesbrand.com/skote/layouts/vertical/email-read.html)
20:08:15	362644/362644	---M--	200	added ('OK')	application/font-woff	etag:%2258894-59c4e9d7cd554%22	https://themesbrand.com/skote/layouts/vertical/assets/fonts/materialdesignicons-webfont.woff?v=4.4.95	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/fonts/materialdesignicons-webfont2f9b.woff	(from https://themesbrand.com/skote/layouts/vertical/assets/css/icons.min.css)
20:08:15	396/396	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2018%20Feb%202020%2014:38:15%20GMT	https://themesbrand.com/skote/layouts/vertical/assets/images/small/img-4.jpg	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/images/small/img-4.jpg	(from https://themesbrand.com/skote/layouts/vertical/email-read.html)
20:08:15	396/396	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2018%20Feb%202020%2014:38:15%20GMT	https://themesbrand.com/skote/layouts/vertical/assets/images/small/img-1.jpg	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/images/small/img-1.jpg	(from https://themesbrand.com/skote/layouts/vertical/tasks-kanban.html)
20:08:15	396/396	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2018%20Feb%202020%2014:38:15%20GMT	https://themesbrand.com/skote/layouts/vertical/assets/images/small/img-2.jpg	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/images/small/img-2.jpg	(from https://themesbrand.com/skote/layouts/vertical/tasks-kanban.html)
20:08:22	396/396	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2018%20Feb%202020%2014:38:22%20GMT	https://themesbrand.com/skote/layouts/vertical/assets/images/small/img-6.jpg	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/images/small/img-6.jpg	(from https://themesbrand.com/skote/layouts/vertical/ui-cards.html)
20:08:22	754632/754632	---M--	200	added ('OK')	application/font-sfnt	etag:%22b83c8-59c4e9d7cd554%22	https://themesbrand.com/skote/layouts/vertical/assets/fonts/materialdesignicons-webfont.ttf?v=4.4.95	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/fonts/materialdesignicons-webfont2f9b.ttf	(from https://themesbrand.com/skote/layouts/vertical/assets/css/icons.min.css)
20:08:39	209260/209260	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223316c-59c4e9d7b9cd3%22	https://themesbrand.com/skote/layouts/vertical/assets/fonts/boxicons.eot	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/fonts/boxicons.eot	(from https://themesbrand.com/skote/layouts/vertical/assets/css/icons.min.css)
20:08:44	396/396	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2018%20Feb%202020%2014:38:44%20GMT	https://themesbrand.com/skote/layouts/vertical/assets/libs/bootstrap-editable/js/index.js	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/libs/bootstrap-editable/js/index.js	(from https://themesbrand.com/skote/layouts/vertical/form-xeditable.html)
